DAUID,Province,DA Population,Residential Instability,Ethno-cultural Composition,Economic Dependency,Situational Vulnerability
10010165,Newfoundland & Labrador,500,0.028,-0.754,-0.427,-0.382
10010166,Newfoundland & Labrador,325,-0.065,0.107,0.312,-0.379
10010167,Newfoundland & Labrador,435,-0.84,-0.824,1.506,-0.487
10010168,Newfoundland & Labrador,590,-0.253,-0.76,0.528,-0.151
10010169,Newfoundland & Labrador,300,-0.273,-0.805,0.333,-0.06
10010170,Newfoundland & Labrador,370,-0.693,-1.024,1.172,-0.5
10010171,Newfoundland & Labrador,420,-0.225,-1.07,-0.383,-0.639
10010172,Newfoundland & Labrador,230,0.266,-0.694,-1.217,-0.08
10010173,Newfoundland & Labrador,755,0.358,-0.713,-0.204,-0.087
10010174,Newfoundland & Labrador,855,-0.4,-0.959,-0.018,-0.487
10010175,Newfoundland & Labrador,1095,0.075,-0.498,0.058,0.704
10010176,Newfoundland & Labrador,405,0.38,-0.555,-0.326,0.352
10010180,Newfoundland & Labrador,495,-0.732,-1.047,0.039,-0.897
10010181,Newfoundland & Labrador,385,-0.154,-0.609,1.679,-0.779
10010182,Newfoundland & Labrador,335,0.144,-0.987,-0.127,-0.005
10010187,Newfoundland & Labrador,570,0.567,-1.184,0.191,-0.093
10010191,Newfoundland & Labrador,735,0.067,-0.469,0.969,1.655
10010192,Newfoundland & Labrador,335,-0.304,-0.733,0.027,0.172
10010193,Newfoundland & Labrador,540,-0.458,-0.363,0.296,1.345
10010194,Newfoundland & Labrador,195,0.099,-0.414,0.601,1.535
10010195,Newfoundland & Labrador,565,-0.082,-0.938,0.023,-0.015
10010196,Newfoundland & Labrador,515,0.212,-1.034,0.674,-0.916
10010198,Newfoundland & Labrador,395,-0.251,-1.117,0.019,-0.403
10010199,Newfoundland & Labrador,210,0.265,-0.693,2.176,-0.399
10010200,Newfoundland & Labrador,430,-0.629,-0.608,-0.351,-0.125
10010201,Newfoundland & Labrador,425,0.365,-0.614,0.227,0.049
10010202,Newfoundland & Labrador,360,0.09,-0.894,0.446,-0.347
10010203,Newfoundland & Labrador,325,-0.6,-0.222,1.402,0.132
10010204,Newfoundland & Labrador,615,1.152,-0.157,0.208,0.991
10010206,Newfoundland & Labrador,830,1.5,-0.264,1.462,0.166
10010207,Newfoundland & Labrador,1235,0.627,-0.267,-0.547,0.308
10010208,Newfoundland & Labrador,1630,0.83,-0.256,-0.009,0.602
10010209,Newfoundland & Labrador,495,0.134,-0.657,0.233,-0.249
10010210,Newfoundland & Labrador,460,0.39,-0.277,0.759,1.436
10010211,Newfoundland & Labrador,640,1.274,-0.779,1.197,0.2
10010212,Newfoundland & Labrador,315,0.407,-0.88,0.461,0.155
10010213,Newfoundland & Labrador,550,1.093,-1.078,1.858,-0.535
10010214,Newfoundland & Labrador,310,1.391,-0.105,0.323,1.412
10010215,Newfoundland & Labrador,420,0.131,-0.766,-0.454,0.94
10010216,Newfoundland & Labrador,325,0.373,-0.839,-0.042,-0.282
10010217,Newfoundland & Labrador,395,0.661,-0.684,-0.469,0.38
10010218,Newfoundland & Labrador,280,1.88,-0.15,1.097,1.953
10010219,Newfoundland & Labrador,590,0.27,-0.854,0.672,1.193
10010220,Newfoundland & Labrador,320,1.04,-0.602,1.516,1.48
10010221,Newfoundland & Labrador,555,0.981,-0.82,1.183,0.529
10010222,Newfoundland & Labrador,535,0.663,-0.764,-0.374,0.848
10010223,Newfoundland & Labrador,470,1.697,-0.719,0.224,0.624
10010224,Newfoundland & Labrador,410,0.928,-0.956,0.448,0.21
10010225,Newfoundland & Labrador,205,0.662,-0.923,1.338,0.855
10010226,Newfoundland & Labrador,455,0.905,-0.407,1.409,2.01
10010227,Newfoundland & Labrador,300,0.67,-0.824,-0.02,-0.062
10010228,Newfoundland & Labrador,425,0.951,-0.129,-0.82,0.585
10010229,Newfoundland & Labrador,470,0.325,-0.637,-0.664,0.138
10010230,Newfoundland & Labrador,560,1.198,-0.576,0.358,0.534
10010231,Newfoundland & Labrador,475,0.716,-0.704,-0.865,-0.067
10010232,Newfoundland & Labrador,410,0.701,-0.399,0.204,0.614
10010233,Newfoundland & Labrador,405,0.917,0.234,0.972,2.109
10010234,Newfoundland & Labrador,520,0.914,-0.505,-0.844,0.459
10010235,Newfoundland & Labrador,325,0.966,-0.227,0.785,1.84
10010236,Newfoundland & Labrador,475,1.119,0.783,0.404,2.239
10010237,Newfoundland & Labrador,485,1.444,-0.23,-0.798,0.19
10010238,Newfoundland & Labrador,680,0.585,0.991,-0.42,0.043
10010239,Newfoundland & Labrador,570,1.742,-0.378,0.07,0.477
10010240,Newfoundland & Labrador,700,1.949,0.671,-1.008,0.415
10010241,Newfoundland & Labrador,535,2.875,0.896,1.421,0.641
10010242,Newfoundland & Labrador,655,0.841,-0.213,-0.1,0.971
10010243,Newfoundland & Labrador,1145,0.156,-0.463,-1.246,-0.312
10010244,Newfoundland & Labrador,700,1.411,-0.438,0.007,0.676
10010245,Newfoundland & Labrador,570,0.706,-0.209,-0.289,0.4
10010246,Newfoundland & Labrador,425,0.681,-0.747,-0.739,-0.763
10010247,Newfoundland & Labrador,415,0.461,0.05,-0.279,0.004
10010248,Newfoundland & Labrador,370,0.169,-0.542,0.487,-0.139
10010249,Newfoundland & Labrador,460,1.104,-0.018,-1.397,-0.188
10010250,Newfoundland & Labrador,425,-0.085,-0.541,-0.29,-0.238
10010251,Newfoundland & Labrador,440,-0.091,-0.528,-0.68,-0.962
10010252,Newfoundland & Labrador,540,0.671,-0.787,-0.032,-0.709
10010253,Newfoundland & Labrador,415,0.038,-0.598,-0.907,-0.243
10010254,Newfoundland & Labrador,465,-0.338,-0.422,0.202,-0.488
10010255,Newfoundland & Labrador,495,0.399,-0.485,0.094,-0.712
