DAUID,Province or territory,CISR Dimension 1 Scores,CISR Dimension 2 Scores,CISR Dimension 3 Scores,CISR Scores,CISR Quintiles,CISR Most Resilient Dimension
10010165,Newfoundland & Labrador,0.04579,0.17925,0.23521,0.15342,3,Dimension 3
10010166,Newfoundland & Labrador,0.50844,0.00357,-0.4409,0.0237,3,Dimension 1
10010167,Newfoundland & Labrador,0.39305,0.51945,-1.25824,-0.11524,3,Dimension 2
10010168,Newfoundland & Labrador,0.15945,0.62694,-1.21148,-0.1417,3,Dimension 2
10010169,Newfoundland & Labrador,0.49676,-0.11998,0.03684,0.13787,3,Dimension 1
10010170,Newfoundland & Labrador,-0.39966,0.55199,-0.50534,-0.11767,3,Dimension 2
10010171,Newfoundland & Labrador,-0.12726,0.59139,0.4436,0.30257,4,Dimension 2
10010172,Newfoundland & Labrador,-0.33091,0.38068,0.67744,0.2424,4,Dimension 3
10010173,Newfoundland & Labrador,0.01211,-0.61713,0.34056,-0.08815,3,Dimension 3
10010174,Newfoundland & Labrador,0.31588,0.60865,-0.10112,0.27447,4,Dimension 2
10010175,Newfoundland & Labrador,-0.20903,-0.71379,-0.73748,-0.55343,1,Dimension 1
10010176,Newfoundland & Labrador,-0.01094,-0.57602,-0.56933,-0.38543,2,Dimension 1
10010180,Newfoundland & Labrador,1.28181,1.18776,-0.65041,0.60639,5,Dimension 1
10010181,Newfoundland & Labrador,0.81023,0.57812,-1.55336,-0.055,3,Dimension 1
10010182,Newfoundland & Labrador,0.17892,-0.03658,-0.61672,-0.15813,2,Dimension 1
10010187,Newfoundland & Labrador,-0.14326,-0.16978,-0.52221,-0.27842,2,Dimension 1
10010191,Newfoundland & Labrador,-1.15027,-1.15487,-1.73588,-1.347,1,Dimension 1
10010192,Newfoundland & Labrador,-0.90863,0.34331,0.327,-0.07944,3,Dimension 2
10010193,Newfoundland & Labrador,-1.43246,-0.01989,-0.89026,-0.78087,1,Dimension 2
10010194,Newfoundland & Labrador,-0.7157,0.56639,-0.0465,-0.06527,3,Dimension 2
10010195,Newfoundland & Labrador,0.25439,0.20919,-0.6793,-0.07191,3,Dimension 1
10010196,Newfoundland & Labrador,1.39901,0.15549,-0.87273,0.22725,4,Dimension 1
10010198,Newfoundland & Labrador,0.54094,0.19781,-1.69212,-0.31779,2,Dimension 1
10010199,Newfoundland & Labrador,0.01604,0.45666,-1.98682,-0.50471,2,Dimension 2
10010200,Newfoundland & Labrador,0.55096,0.33986,-0.41592,0.1583,3,Dimension 1
10010201,Newfoundland & Labrador,0.14505,-0.21715,-1.06398,-0.37869,2,Dimension 1
10010202,Newfoundland & Labrador,-0.32435,0.16008,-1.14626,-0.43684,2,Dimension 2
10010203,Newfoundland & Labrador,-0.58704,-0.22216,-1.31727,-0.70882,1,Dimension 2
10010204,Newfoundland & Labrador,-0.59624,-1.93401,-0.68007,-1.07011,1,Dimension 1
10010206,Newfoundland & Labrador,0.30517,-1.18042,-1.03355,-0.63627,1,Dimension 1
10010207,Newfoundland & Labrador,-0.09848,-0.7899,0.24222,-0.21538,2,Dimension 3
10010208,Newfoundland & Labrador,-0.05749,-1.37758,0.11028,-0.4416,2,Dimension 3
10010209,Newfoundland & Labrador,-0.64379,0.28646,-0.55862,-0.30531,2,Dimension 2
10010210,Newfoundland & Labrador,-0.53881,-0.32195,-1.25015,-0.70364,1,Dimension 2
10010211,Newfoundland & Labrador,0.10731,-0.73263,-1.51614,-0.71382,1,Dimension 1
10010212,Newfoundland & Labrador,0.1545,-0.4397,-1.37659,-0.55393,1,Dimension 1
10010213,Newfoundland & Labrador,0.43464,-0.3765,-2.81277,-0.91821,1,Dimension 1
10010214,Newfoundland & Labrador,-0.55602,-2.32638,-0.68972,-1.19071,1,Dimension 1
10010215,Newfoundland & Labrador,0.04028,-0.39225,-1.30188,-0.55129,1,Dimension 1
10010216,Newfoundland & Labrador,0.28786,-0.729,-0.9367,-0.45928,2,Dimension 1
10010217,Newfoundland & Labrador,0.20521,-0.22173,-0.04399,-0.02017,3,Dimension 1
10010218,Newfoundland & Labrador,-1.25626,-2.46321,-2.15014,-1.95654,1,Dimension 1
10010219,Newfoundland & Labrador,-0.52339,-0.96181,-1.85669,-1.11396,1,Dimension 1
10010220,Newfoundland & Labrador,-0.94064,-0.84794,-0.97635,-0.92164,1,Dimension 2
10010221,Newfoundland & Labrador,-0.34041,-1.12054,-1.91931,-1.12675,1,Dimension 1
10010222,Newfoundland & Labrador,-0.64193,-1.18344,-0.92576,-0.91704,1,Dimension 1
10010223,Newfoundland & Labrador,0.09211,-1.6532,-1.40176,-0.98762,1,Dimension 1
10010224,Newfoundland & Labrador,0.23487,-0.62024,-1.86423,-0.74987,1,Dimension 1
10010225,Newfoundland & Labrador,-0.49107,-0.92836,-2.39373,-1.27105,1,Dimension 1
10010226,Newfoundland & Labrador,-0.77669,-1.86823,-1.58178,-1.4089,1,Dimension 1
10010227,Newfoundland & Labrador,0.64453,-0.40547,-0.71253,-0.15782,2,Dimension 1
10010228,Newfoundland & Labrador,0.40231,-1.5291,-0.64936,-0.59205,1,Dimension 1
10010229,Newfoundland & Labrador,0.56776,-0.7537,-0.42149,-0.20248,2,Dimension 1
10010230,Newfoundland & Labrador,0.40543,-1.15488,-0.93762,-0.56235,1,Dimension 1
10010231,Newfoundland & Labrador,0.34746,-0.81352,-0.30329,-0.25645,2,Dimension 1
