DAUID,CISV Dimension 1 Scores,CISV Dimension 2 Scores,CISV Dimension 3 Scores,CISV Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension
10010165,-1.01123,-0.51263,-0.13729,0.00631,-0.41371,2,Dimension 4
10010166,0.08455,0.16973,-0.11528,-0.08457,0.01361,3,Dimension 2
10010167,-0.6796,0.95411,-0.09899,-0.00362,0.04297,3,Dimension 2
10010168,-0.54533,0.4422,-0.14575,0.40673,0.03946,3,Dimension 2
10010169,-0.23926,0.11237,0.32567,0.60636,0.20129,4,Dimension 4
10010170,-0.73841,0.83895,0.21239,-0.15365,0.03982,3,Dimension 2
10010171,-1.09634,-0.36799,-0.53248,-0.30394,-0.57519,1,Dimension 4
10010172,-1.10897,-1.35027,-0.35835,1.1133,-0.42607,2,Dimension 4
10010173,-0.52063,0.11839,0.2271,0.42162,0.06162,4,Dimension 4
10010174,-0.9082,-0.01959,-0.19952,0.22695,-0.22509,2,Dimension 4
10010175,-0.33121,0.64947,0.47721,0.89036,0.42146,5,Dimension 4
10010176,-0.38874,-0.05608,0.38421,1.66403,0.40086,4,Dimension 4
10010180,-0.91171,0.0956,-0.66473,-0.00462,-0.37137,2,Dimension 2
10010181,-0.4006,0.97951,-0.43237,-0.75087,-0.15108,3,Dimension 2
10010182,-0.81364,0.29159,-0.00816,0.22255,-0.07692,3,Dimension 2
10010187,-0.57746,0.4924,0.36889,0.72007,0.25098,4,Dimension 4
10010191,-0.36418,1.5654,1.87427,1.43529,1.1277,5,Dimension 3
10010192,-0.4538,-0.04371,0.62215,-0.63968,-0.12876,3,Dimension 3
10010193,-0.60399,0.70964,1.20195,0.67836,0.49649,5,Dimension 3
10010194,-0.53818,0.20859,1.22559,0.10127,0.24932,4,Dimension 3
10010195,-0.5724,0.07962,0.05481,0.53184,0.02347,3,Dimension 4
10010196,-0.76355,1.21461,-0.92153,-0.51442,-0.24622,2,Dimension 2
10010198,-0.82481,-0.10762,0.28539,0.25535,-0.09792,3,Dimension 3
10010199,-0.89205,2.15989,-0.66005,0.51198,0.27994,4,Dimension 2
10010200,-0.68668,-0.25965,0.35654,-0.24599,-0.20895,2,Dimension 3
10010201,-0.51748,0.37628,0.20631,0.17077,0.05897,4,Dimension 2
10010202,-0.59882,0.3596,-0.07384,0.36898,0.01398,3,Dimension 4
10010203,-0.01433,0.85786,0.84711,0.16556,0.46405,5,Dimension 2
10010204,0.42899,0.27542,1.94247,1.33487,0.99544,5,Dimension 3
10010206,0.41769,2.10578,0.0371,0.83281,0.84835,5,Dimension 2
10010207,-0.24365,-0.02387,0.19667,1.11523,0.26109,4,Dimension 4
10010208,0.0587,0.70044,0.66232,0.82073,0.56055,5,Dimension 4
10010209,-0.58798,0.32176,0.50946,0.37269,0.15398,4,Dimension 3
10010210,-0.36919,1.10134,0.45655,0.98482,0.54338,5,Dimension 2
