CSD,CSDUID,outcome,n_DA,LM Lag,LM Lag p,LM Error,LM Error p,RLM Lag,RLM Lag p,RLM Error,RLM Error p,LM SAC,LM SAC p,test_type
1001485,1001485,canopy_proportion_da,39,10.3321,0.0013,8.7227,0.0031,2.3185,0.1278,0.709,0.3998,11.0411,0.004,SAC
1001485,1001485,canopy_proportion_road,39,21.1902,0.0,22.108,0.0,0.0015,0.9696,0.9193,0.3377,22.1095,0.0,SAC
1001542,1001542,canopy_proportion_da,44,2.2353,0.1349,0.1119,0.738,12.2366,0.0005,10.1131,0.0015,12.3485,0.0021,OLS
1001542,1001542,canopy_proportion_road,44,26.1502,0.0,11.3073,0.0008,17.3521,0.0,2.5092,0.1132,28.6594,0.0,SLM
1102075,1102075,canopy_proportion_da,65,13.0849,0.0003,12.3705,0.0004,0.9273,0.3356,0.2128,0.6446,13.2977,0.0013,SAC
1102075,1102075,canopy_proportion_road,65,22.9632,0.0,14.9358,0.0001,9.6867,0.0019,1.6593,0.1977,24.6225,0.0,SLM
1306020,1306020,canopy_proportion_da,31,0.015,0.9026,0.0363,0.8489,0.1929,0.6606,0.2142,0.6435,0.2291,0.8918,OLS
1306020,1306020,canopy_proportion_road,31,0.4659,0.4949,1.2713,0.2595,0.4167,0.5186,1.2222,0.2689,1.6881,0.43,OLS
1307022,1307022,canopy_proportion_da,114,9.6118,0.0019,9.3619,0.0022,1.1077,0.2926,0.8578,0.3543,10.4696,0.0053,SAC
1307022,1307022,canopy_proportion_road,114,31.4231,0.0,27.1159,0.0,4.7845,0.0287,0.4773,0.4897,31.9004,0.0,SLM
1310032,1310032,canopy_proportion_da,102,25.1688,0.0,19.8301,0.0,5.5151,0.0189,0.1763,0.6746,25.3451,0.0,SLM
1310032,1310032,canopy_proportion_road,102,23.1162,0.0,21.5873,0.0,2.2126,0.1369,0.6838,0.4083,23.8,0.0,SAC
2423027,2423027,canopy_proportion_da,892,438.5452,0.0,412.1791,0.0,42.8509,0.0,16.4848,0.0,455.03,0.0,SAC (all significant)
