CSDUID,CSD_name,outcome,n_DA,model_type,test_type,r2,aic,coef_json
1001485,,canopy_proportion_da,39,SAC,SAC,0.3991,109.05,"{""json"":""{\""rho\"":0.1408,\""lambda\"":0.5676,\""(Intercept)\"":-0.0202,\""Ethno.cultural.Composition\"":0.0425,\""Economic.Dependency\"":0.0023,\""CISV.Scores\"":0.1146,\""total_area_km2_da\"":0.4026}""}"
1001485,,canopy_proportion_road,39,SAC,SAC,0.5398,101.47,"{""json"":""{\""rho\"":0.0616,\""lambda\"":0.7368,\""(Intercept)\"":0.0333,\""Ethno.cultural.Composition\"":0.0112,\""Economic.Dependency\"":0.2939,\""CISV.Scores\"":-0.0026,\""total_area_km2_road\"":-0.0867}""}"
1001542,,canopy_proportion_da,44,OLS,OLS,0.1993,126.07,"{""json"":""{\""(Intercept)\"":9.4755e-17,\""Ethno.cultural.Composition\"":-0.0464,\""Economic.Dependency\"":0.4484,\""CISV.Scores\"":-0.0465,\""total_area_km2_da\"":-0.0821}""}"
1001542,,canopy_proportion_road,44,SLM,SLM,0.739,85.4,"{""json"":""{\""rho\"":0.7651,\""(Intercept)\"":0.0774,\""Ethno.cultural.Composition\"":0.1152,\""Economic.Dependency\"":0.3567,\""CISV.Scores\"":-0.1937,\""total_area_km2_road\"":-0.2334}""}"
1102075,,canopy_proportion_da,65,SAC,SAC,0.4575,166.37,"{""json"":""{\""rho\"":-0.114,\""lambda\"":0.6583,\""(Intercept)\"":0.1122,\""Ethno.cultural.Composition\"":0.0255,\""Economic.Dependency\"":0.3211,\""CISV.Scores\"":-0.5797,\""total_area_km2_da\"":-0.0984}""}"
1102075,,canopy_proportion_road,65,SLM,SLM,0.5077,158,"{""json"":""{\""rho\"":0.6619,\""(Intercept)\"":0.0415,\""Ethno.cultural.Composition\"":0.0283,\""Economic.Dependency\"":0.2099,\""CISV.Scores\"":-0.1825,\""total_area_km2_road\"":-0.2734}""}"
1306020,,canopy_proportion_da,31,OLS,OLS,0.5482,74.33,"{""json"":""{\""(Intercept)\"":-1.7788e-16,\""Ethno.cultural.Composition\"":-0.0201,\""Economic.Dependency\"":0.0602,\""CISV.Scores\"":-0.4339,\""total_area_km2_da\"":0.5408}""}"
1306020,,canopy_proportion_road,31,OLS,OLS,0.3331,86.4,"{""json"":""{\""(Intercept)\"":7.276e-17,\""Ethno.cultural.Composition\"":0.2581,\""Economic.Dependency\"":0.1734,\""CISV.Scores\"":-0.5288,\""total_area_km2_road\"":-0.5857}""}"
1307022,,canopy_proportion_da,114,SAC,SAC,0.4253,278.12,"{""json"":""{\""rho\"":0.308,\""lambda\"":0.191,\""(Intercept)\"":-0.0496,\""Ethno.cultural.Composition\"":0.0134,\""Economic.Dependency\"":-0.0423,\""CISV.Scores\"":-0.1592,\""total_area_km2_da\"":0.4344}""}"
1307022,,canopy_proportion_road,114,SLM,SLM,0.394,291.36,"{""json"":""{\""rho\"":0.6797,\""(Intercept)\"":0.0699,\""Ethno.cultural.Composition\"":-0.1121,\""Economic.Dependency\"":-0.0505,\""CISV.Scores\"":-0.1214,\""total_area_km2_road\"":-0.1847}""}"
1310032,,canopy_proportion_da,102,SLM,SLM,0.4803,240.04,"{""json"":""{\""rho\"":0.452,\""(Intercept)\"":-0.0034,\""Ethno.cultural.Composition\"":-0.0857,\""Economic.Dependency\"":0.0723,\""CISV.Scores\"":-0.268,\""total_area_km2_da\"":0.3247}""}"
1310032,,canopy_proportion_road,102,SAC,SAC,0.4476,249.52,"{""json"":""{\""rho\"":0.4669,\""lambda\"":0.2216,\""(Intercept)\"":0.0914,\""Ethno.cultural.Composition\"":-0.2275,\""Economic.Dependency\"":0.0349,\""CISV.Scores\"":-0.1891,\""total_area_km2_road\"":-0.3114}""}"
2423027,,canopy_proportion_da,892,SAC,SAC (all significant),0.5216,1976.58,"{""json"":""{\""rho\"":0.6664,\""lambda\"":-0.1595,\""(Intercept)\"":-0.0389,\""Ethno.cultural.Composition\"":-0.0005,\""Economic.Dependency\"":0.0541,\""CISV.Scores\"":-0.053,\""total_area_km2_da\"":0.3024}""}"
2423027,,canopy_proportion_road,892,SLM,SLM,0.4595,2106.04,"{""json"":""{\""rho\"":0.7403,\""(Intercept)\"":0.0268,\""Ethno.cultural.Composition\"":0.0128,\""Economic.Dependency\"":0.0579,\""CISV.Scores\"":-0.0884,\""total_area_km2_road\"":-0.0678}""}"
2423057,,canopy_proportion_da,31,OLS,OLS,0.2158,91.42,"{""json"":""{\""(Intercept)\"":-4.397e-17,\""Ethno.cultural.Composition\"":-0.1133,\""Economic.Dependency\"":0.5123,\""CISV.Scores\"":-0.3502,\""total_area_km2_da\"":0.2287}""}"
2423057,,canopy_proportion_road,31,OLS,OLS,0.2869,88.47,"{""json"":""{\""(Intercept)\"":-8.4477e-18,\""Ethno.cultural.Composition\"":0.4594,\""Economic.Dependency\"":0.3864,\""CISV.Scores\"":-0.1564,\""total_area_km2_road\"":-0.0437}""}"
2437067,,canopy_proportion_da,237,SAC,SAC (all significant),0.686,472.64,"{""json"":""{\""rho\"":0.7512,\""lambda\"":-0.8855,\""(Intercept)\"":-0.0346,\""Ethno.cultural.Composition\"":-0.0094,\""Economic.Dependency\"":-0.043,\""CISV.Scores\"":-0.0359,\""total_area_km2_da\"":0.296}""}"
2437067,,canopy_proportion_road,237,SAC,SAC,0.2778,621.62,"{""json"":""{\""rho\"":0.4882,\""lambda\"":-0.0406,\""(Intercept)\"":-0.0296,\""Ethno.cultural.Composition\"":-0.0068,\""Economic.Dependency\"":0.025,\""CISV.Scores\"":-0.0753,\""total_area_km2_road\"":0.2177}""}"
2439062,,canopy_proportion_da,81,SAC,SAC,0.1891,235.9,"{""json"":""{\""rho\"":0.5903,\""lambda\"":-0.3767,\""(Intercept)\"":0.0018,\""Ethno.cultural.Composition\"":-0.0615,\""Economic.Dependency\"":-0.1151,\""CISV.Scores\"":0.0161,\""total_area_km2_da\"":0.0614}""}"
2439062,,canopy_proportion_road,81,SAC,SAC,0.2017,229.92,"{""json"":""{\""rho\"":0.2532,\""lambda\"":0.384,\""(Intercept)\"":0.0371,\""Ethno.cultural.Composition\"":-0.0196,\""Economic.Dependency\"":0.1708,\""CISV.Scores\"":-0.0418,\""total_area_km2_road\"":0.0182}""}"
2443027,,canopy_proportion_da,253,SLM,SLM,0.5017,569.28,"{""json"":""{\""rho\"":0.5369,\""(Intercept)\"":-0.0367,\""Ethno.cultural.Composition\"":-0.0044,\""Economic.Dependency\"":-0.0926,\""CISV.Scores\"":-0.1142,\""total_area_km2_da\"":0.2733}""}"
2443027,,canopy_proportion_road,253,SAC,SAC,0.4796,604.72,"{""json"":""{\""rho\"":-0.0375,\""lambda\"":0.7819,\""(Intercept)\"":0.1224,\""Ethno.cultural.Composition\"":0.0384,\""Economic.Dependency\"":0.2226,\""CISV.Scores\"":-0.2728,\""total_area_km2_road\"":-0.02}""}"
2447017,,canopy_proportion_da,116,SLM,SLM,0.6493,236.49,"{""json"":""{\""rho\"":0.7492,\""(Intercept)\"":-0.0053,\""Ethno.cultural.Composition\"":0.01,\""Economic.Dependency\"":-0.0105,\""CISV.Scores\"":-0.1082,\""total_area_km2_da\"":0.1497}""}"
2447017,,canopy_proportion_road,116,SLM,SLM,0.5227,268.23,"{""json"":""{\""rho\"":0.6693,\""(Intercept)\"":0.0098,\""Ethno.cultural.Composition\"":-0.101,\""Economic.Dependency\"":-0.1276,\""CISV.Scores\"":0.0109,\""total_area_km2_road\"":0.145}""}"
